IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;Lat;Lon
1614680;Duitama;BOYACA;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;5,890600204;-73,06710052
1614681;Cota;CUNDINAMARCA;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,788269997;-74,12339783
1614682;Bogota;BOGOTA D.C;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,316110134;-74,18109894
1614683;La Mesa;CUNDINAMARCA;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,650770187;-74,47319794
1614684;Bogota;BOGOTA D.C;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,316110134;-74,18109894
1614685;Fusagasuga;CUNDINAMARCA;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,323530197;-74,38860321
1614686;Bogota;BOGOTA D.C;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,316110134;-74,18109894
1614687;Cajica;CUNDINAMARCA;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,930399895;-74,0298996
1614688;Bogota;BOGOTA D.C;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,316110134;-74,18109894
1614689;Girardot;CUNDINAMARCA;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,338150024;-74,81140137
1614690;Bogota;BOGOTA D.C;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,316110134;-74,18109894
1614691;Bogota;BOGOTA D.C;Colsubsidio;Mt;Ka;SUPERP;Cundi-Boyaca;Colsubsidio;;4,316110134;-74,18109894
1614692;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SMI P;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614693;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SMI P;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614694;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614695;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614696;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP BASIC;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614697;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614698;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SMI P;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614699;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614700;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614701;Zipaquira;CUNDINAMARCA;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;5,046189785;-74,02310181
1614702;Puerto Tejada;CAUCA;Olimpica;Mt;Ka;SMI P;Pacifico;Olimpica Sto;;3,266720057;-76,41850281
1614703;Santiago De Cali;VALLE DEL CAUCA;Olimpica;Mt;Ka;SUPERP BASIC;Pacifico;Olimpica Sto;;3,471101;-76,508866
1614704;Santiago De Cali;VALLE DEL CAUCA;Olimpica;Mt;Ka;SMI P;Pacifico;Olimpica Sto;;3,399039984;-76,57649994
1614705;Cartago;VALLE DEL CAUCA;Olimpica;Mt;Ka;SUPERP;Pacifico;Olimpica Sto;;4,706850052;-75,91790009
1614706;Cartago;VALLE DEL CAUCA;Olimpica;Mt;Ka;SMI P;Pacifico;Olimpica Sto;;4,706850052;-75,91790009
1614707;Sevilla;VALLE DEL CAUCA;Olimpica;Mt;Ka;SMI P;Pacifico;Olimpica Sto;;4,19340992;-75,88819885
1614708;Zarzal;VALLE DEL CAUCA;Olimpica;Mt;Ka;SUPERP;Pacifico;Olimpica Sto;;4,353600025;-76,05069733
1614709;Quimbaya;QUINDIO;Olimpica;Mt;Ka;SMI P;Eje Cafetero;Olimpica Sto;;4,610270023;-75,792099
1614710;Montenegro;QUINDIO;Olimpica;Mt;Ka;SUPERP;Eje Cafetero;Olimpica Sto;;4,521890163;-75,81809998
1614711;Calarca;QUINDIO;Olimpica;Mt;Ka;SUPERP;Eje Cafetero;Olimpica Sto;;4,467879772;-75,65670013
1614712;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP BASIC;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614713;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
1614714;Bogota;BOGOTA D.C;Olimpica;Mt;Ka;SUPERP BASIC;Cundi-Boyaca;Olimpica Sto;;4,316110134;-74,18109894
