IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;DiaEntregaPedido;DiaHoy;DiaRestante;Lat;Lon
1597043;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,697667;-74,030793
1597044;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,695483;-74,043565
1597045;Pereira;RISARALDA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Eje Cafetero;Carulla;Jueves;4;1;3;4,804053;-75,686383
1597046;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERP PREMIUM;Antioquia-Choco;Carulla;Miercoles - Sabado;3;1;2;6,215503;-75,5628
1597047;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Carulla;Miercoles - Sabado;3;1;2;6,257589817;-75,61100006
1597048;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,694927;-74,08665
1597049;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,734808;-74,065732
1597050;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Carulla;Miercoles - Sabado;3;1;2;6,200175;-75,575977
1597051;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,316110134;-74,18109894
1597052;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Pacifico;Carulla;Lunes - Viernes;1;1;0;3,43345;-76,544428
1597053;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Carulla;Miercoles - Sabado;3;1;2;6,257589817;-75,61100006
1597054;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,705468;-74,050527
1597055;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Carulla;Miercoles - Sabado;3;1;2;6,257589817;-75,61100006
1597056;Floridablanca;SANTANDER;Makro;Mt;Club;CLUB;Santanderes;Makro;Martes;2;1;1;7,079699993;-73,06800079
1597057;Ibagué;TOLIMA;Makro;Mt;Club;CLUB;Centro;Makro;Lunes;1;1;0;4,43131;-75,186075
1597058;Montería;CORDOBA;Makro;Mt;Club;CLUB;Atlantico;Makro;Martes;2;1;1;8,763408;-75,870555
1597059;Bogotá;BOGOTA D.C;Makro;Mt;Club;CLUB;Cundi-Boyaca;Makro;Lunes;1;1;0;4,629812;-74,117418
1597060;Medellin;ANTIOQUIA;Makro;Mt;Club;CLUB;Antioquia-Choco;Makro;Martes;2;1;1;6,252438;-75,58451
1597061;Santa Marta;MAGDALENA;Makro;Mt;Club;CLUB;Atlantico;Makro;Martes;2;1;1;11,229598;-74,199165
1597062;Barranquilla;ATLÁNTICO;Makro;Mt;Club;CLUB;Atlantico;Makro;Martes;2;1;1;10,925907;-74,779917
1597063;Tunja;BOYACA;Makro;Mt;Club;CLUB;Cundi-Boyaca;Makro;Lunes;1;1;0;5,54379;-73,349867
1597064;Santiago De Cali;VALLE DEL CAUCA;Makro;Mt;Club;CLUB;Pacifico;Makro;Martes;2;1;1;3,399039984;-76,57649994
1597065;Valledupar;CESAR;Makro;Mt;Club;CLUB;Atlantico;Makro;Martes;2;1;1;10,489192;-73,272658
1597066;Bogotá;BOGOTA D.C;Makro;Mt;Club;CLUB;Cundi-Boyaca;Makro;Lunes;1;1;0;4,59658;-74,152867
1597067;Barranquilla;ATLÁNTICO;Makro;Mt;Club;CLUB;Atlantico;Makro;Martes;2;1;1;11,015737;-74,836435
1597068;Villavicencio;META;Makro;Mt;Club;CLUB;Llanos;Makro;Lunes;1;1;0;4,091670036;-73,49289703
1597069;Floridablanca;SANTANDER;Mas Por Menos;Dtt;Smi;SMI G BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,079699993;-73,06800079
1597070;Barrancabermeja;SANTANDER;Mas Por Menos;Dtt;Smi;SMI G BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,054069996;-73,78209686
1597071;Barrancabermeja;SANTANDER;Mas Por Menos;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,054069996;-73,78209686
1597072;Bucaramanga;SANTANDER;Mas Por Menos;Dtt;Smi;SMI G BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,155829906;-73,11160278
1597073;Floridablanca;SANTANDER;Mas Por Menos;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,079699993;-73,06800079
1597074;Bucaramanga;SANTANDER;Mas Por Menos;Dtt;Smi;SMI G BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,155829906;-73,11160278
1597075;Floridablanca;SANTANDER;Mas Por Menos;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,063613;-73,167352
1597076;Bucaramanga;SANTANDER;Mas Por Menos;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,155829906;-73,11160278
1597077;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Carulla;Miercoles - Lunes;1;1;0;4,316110134;-74,18109894
1597078;Santiago De Cali;VALLE DEL CAUCA;Grupo Comercial Éxito;Mt;Ka;SUPERP PREMIUM;Pacifico;Carulla;Lunes - Viernes;1;1;0;3,399039984;-76,57649994
1597079;Cartagena;BOLIVAR;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Atlantico;Carulla;Jueves;4;1;3;10,413317;-75,539783
1597080;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Carulla;Miercoles - Sabado;3;1;2;6,257589817;-75,61100006
1597081;Montería;CORDOBA;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Atlantico;Exito;Jueves;4;1;3;8,763992;-75,873138
1597082;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Exito;Miercoles - Lunes;1;1;0;4,701787;-74,113948
1597083;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Exito;Miercoles - Lunes;1;1;0;4,618445;-74,134593
1597084;Medellin;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;SUPERG BASIC;Antioquia-Choco;Exito;Miercoles - Sabado;3;1;2;6,337992;-75,543882
1597085;Cúcuta;NORTE DE SANTANDER;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Santanderes;Exito;Jueves;4;1;3;8,112030029;-72,48860168
1597086;Barrancabermeja;SANTANDER;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Santanderes;Exito;Jueves;4;1;3;7,054069996;-73,78209686
1597087;Barranquilla;ATLÁNTICO;Grupo Comercial Éxito;Mt;Ka;HYPER PREMIUM;Atlantico;Exito;Jueves;4;1;3;11,009203;-74,821243
1597088;Bello;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Antioquia-Choco;Exito;Miercoles - Sabado;3;1;2;6,188183;-75,589572
1597089;Bello;ANTIOQUIA;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Antioquia-Choco;Exito;Miercoles - Sabado;3;1;2;6,335366;-75,557539
1597090;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Exito;Miercoles - Lunes;1;1;0;4,759522;-74,063843
1597091;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Exito;Miercoles - Lunes;1;1;0;4,72131;-74,124007
1597092;Bogotá;BOGOTA D.C;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Exito;Miercoles - Lunes;1;1;0;4,604732;-74,182748
1597093;Bucaramanga;SANTANDER;Grupo Comercial Éxito;Mt;Ka;HYPER PREMIUM;Santanderes;Exito;Jueves;4;1;3;7,155829906;-73,11160278
1597094;Bucaramanga;SANTANDER;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Santanderes;Exito;Jueves;4;1;3;7,155829906;-73,11160278
1597095;Bucaramanga;SANTANDER;Grupo Comercial Éxito;Mt;Ka;HYPER BASIC;Santanderes;Exito;Jueves;4;1;3;7,155829906;-73,11160278
1597096;Barranquilla;ATLÁNTICO;Grupo Comercial Éxito;Mt;Ka;HYPER PREMIUM;Atlantico;Exito;Jueves;4;1;3;11,013458;-74,828117
1597097;Piedecuesta;SANTANDER;Mas Por Menos;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;6,962460041;-73,00520325
1597098;Floridablanca;SANTANDER;Mas Por Menos;Dtt;Smi;SMI G BASIC;Santanderes;Pastor J Bucaramanga;;0;1;6;7,079699993;-73,06800079
1597099;Bucaramanga;SANTANDER;Megaredil;Dtt;Smi;SMI G BASIC;Santanderes;Tropisander;;0;1;6;7,155829906;-73,11160278
1597100;Bucaramanga;SANTANDER;Megaredil;Dtt;Smi;SMI M BASIC;Santanderes;Tropisander;;0;1;6;7,155829906;-73,11160278
1597101;Piedecuesta;SANTANDER;Megaredil;Dtt;Smi;SMI M BASIC;Santanderes;Tropisander;;0;1;6;6,962460041;-73,00520325
1597102;Barranquilla;ATLÁNTICO;Megatiendas;Mt;Smi;SMI M BASIC;Atlantico;Megatiendas;;0;1;6;11,004555;-74,824195
1597103;Barranquilla;ATLÁNTICO;Megatiendas;Mt;Smi;SMI M PREMIUM;Atlantico;Megatiendas;;0;1;6;11,022443;-74,862877
1597104;Cartagena;BOLIVAR;Megatiendas;Mt;Smi;SMI M PREMIUM;Atlantico;Megatiendas;;0;1;6;10,399743;-75,556328
1597105;Barranquilla;ATLÁNTICO;Megatiendas;Mt;Smi;SMI M BASIC;Atlantico;Megatiendas;;0;1;6;10,952048;-74,786853
1597106;Cartagena;BOLIVAR;Megatiendas;Mt;Smi;SMI M BASIC;Atlantico;Megatiendas;;0;1;6;10,399;-75,493842
1597107;Barranquilla;ATLÁNTICO;Megatiendas;Mt;Smi;SMI M PREMIUM;Atlantico;Megatiendas;;0;1;6;10,989988;-74,811238
1597108;Santiago De Cali;VALLE DEL CAUCA;Merca Z;Dtt;Smi;SMI M BASIC;Pacifico;Distrimarcas;;0;1;6;3,399039984;-76,57649994
1597109;Ibagué;TOLIMA;Mercacentro;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,451920033;-75,25260162
1597110;Ibagué;TOLIMA;Mercacentro;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,436702;-75,201033
1597111;Ibagué;TOLIMA;Mercacentro;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,440863;-75,206065
1597112;Ibagué;TOLIMA;Mercacentro;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,43928;-75,237077
1597113;Ibagué;TOLIMA;Mercacentro;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,451920033;-75,25260162
1597114;Ibagué;TOLIMA;Mercacentro;Dtt;Smi;SMI M BASIC;Centro;Tropicana;;0;1;6;4,431927;-75,243702
1597115;Espinal;TOLIMA;Mercacentro;Dtt;Smi;SMI G PREMIUM;Centro;Tropicana;;0;1;6;4,166480064;-74,89350128
